name,album,num in album,is Explicit,num of words,duration in sec,path,num of obscenities
"High Infidelity",Midnights,17,false,375,231,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights17.txt,0
"Glitch",Midnights,18,false,233,148,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights18.txt,0
"Would’ve, Could’ve, Should’ve",Midnights,19,false,500,260,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights19.txt,3
"Dear Reader",Midnights,20,false,266,225,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights20.txt,0
"Hits Different",Midnights,21,false,458,234,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights21.txt,4
"You’re Losing Me",Midnights,22,false,396,281,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights22.txt,0
"Fortnight ft. Post Malone",The Tortured Poets Department,1,false,352,228,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD1.txt,0
"The Tortured Poets Department",The Tortured Poets Department,2,true,412,293,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD2.txt,0
"My Boy Only Breaks His Favorite Toys",The Tortured Poets Department,3,false,291,203,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD3.txt,0
"Down Bad",The Tortured Poets Department,4,true,472,261,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD4.txt,17
"So Long, London",The Tortured Poets Department,5,false,376,262,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD5.txt,0
"But Daddy I Love Him",The Tortured Poets Department,6,true,563,340,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD6.txt,1
"Fresh Out The Slammer",The Tortured Poets Department,7,false,273,210,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD7.txt,0
"Florida!!! ft. Florence + The Machine",The Tortured Poets Department,8,true,470,215,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD8.txt,3
"Guilty as Sin?",The Tortured Poets Department,9,false,353,254,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD9.txt,0
"Who’s Afraid of Little Old Me?",The Tortured Poets Department,10,false,442,334,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD10.txt,0
"I Can Fix Him (No Really I Can)",The Tortured Poets Department,11,false,235,156,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD11.txt,0
"loml",The Tortured Poets Department,12,true,362,277,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD12.txt,0
"I Can Do It With A Broken Heart",The Tortured Poets Department,13,true,395,218,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD13.txt,2
"The Smallest Man Who Ever Lived",The Tortured Poets Department,14,true,311,245,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD14.txt,1
"The Alchemy",The Tortured Poets Department,15,false,361,196,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD15.txt,0
"Clara Bow",The Tortured Poets Department,16,false,248,216,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD16.txt,0
"The Black Dog",The Tortured Poets Department,17,true,301,238,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD17.txt,0
"imgonnagetyouback",The Tortured Poets Department,18,false,411,222,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD18.txt,0
"The Albatross",The Tortured Poets Department,19,false,251,183,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD19.txt,0
